"Informazioni cronologiche","Quanti anni hai?","Qual è la tua situazione abitativa attuale?","In che tipo di abitazione vivi?","Gestisci la fornitura elettrica nella tua famiglia?","Quante persone vivono nella tua famiglia?","Come descriveresti il consumo energetico della tua famiglia?","Quante volte hai cambiato fornitore di elettricità?","Quanto paghi in media mensilmente per l'elettricità?","Classifica i seguenti servizi dal più importante (1) al meno importante (7).

Puoi assegnare ogni valore solo una volta, quindi assicurati che ogni servizio abbia un valore unico. [Reputazione e affidabilità del fornitore]","Classifica i seguenti servizi dal più importante (1) al meno importante (7).

Puoi assegnare ogni valore solo una volta, quindi assicurati che ogni servizio abbia un valore unico. [Servizio clienti]","Classifica i seguenti servizi dal più importante (1) al meno importante (7).

Puoi assegnare ogni valore solo una volta, quindi assicurati che ogni servizio abbia un valore unico. [Facilità nella lettura della bolletta]","Classifica i seguenti servizi dal più importante (1) al meno importante (7).

Puoi assegnare ogni valore solo una volta, quindi assicurati che ogni servizio abbia un valore unico. [Prezzo flessibile (fasce orarie)]","Classifica i seguenti servizi dal più importante (1) al meno importante (7).

Puoi assegnare ogni valore solo una volta, quindi assicurati che ogni servizio abbia un valore unico. [Energia da fonti rinnovabili]","Classifica i seguenti servizi dal più importante (1) al meno importante (7).

Puoi assegnare ogni valore solo una volta, quindi assicurati che ogni servizio abbia un valore unico. [Facilità nell'uso del sito/app]","Classifica i seguenti servizi dal più importante (1) al meno importante (7).

Puoi assegnare ogni valore solo una volta, quindi assicurati che ogni servizio abbia un valore unico. [Pacchetti (es. elettricità + gas + internet)]"
"2024/12/20 11:31:28 AM CET","18-25","Proprietà","Casa","No","5","Moderato (es. uso occasionale del riscaldamento/aria condizionata)","Una volta","80-100€","4","6","5","7","1","2","3"
"2024/12/20 11:41:39 AM CET","18-25","Affitto","Appartamento","Si","2","Moderato (es. uso occasionale del riscaldamento/aria condizionata)","Due o più volte","60-80€","3","1","2","4","5","6","7"
"2024/12/20 11:43:00 AM CET","18-25","Affitto","Appartamento","Si","2","Alto (es. uso frequente di riscaldamento/aria condizionata, più dispositivi in funzione)","Due o più volte","80-100€","5","3","7","4","2","6","1"
"2024/12/20 12:53:21 PM CET","18-25","Ho vissuto per il 60% di questo anno in una residenza universitaria e per il restante a casa con i genitori","Casa","Si","4","Basso (es. uso minimo di riscaldamento/aria condizionata)","Una volta","Più di 120€","4","1","3","2","5","7","6"
"2024/12/21 1:14:39 PM CET","18-25","Affitto","Appartamento","Si","2","Basso (es. uso minimo di riscaldamento/aria condizionata)","Mai","40-60€","1","5","3","4","6","2","7"
"2024/12/21 1:27:53 PM CET","51+","Proprietà","Casa","Si","4","Alto (es. uso frequente di riscaldamento/aria condizionata, più dispositivi in funzione)","Due o più volte","100-120€","2","5","4","1","7","6","3"
"2024/12/29 3:02:16 PM CET","26-35","Proprietà","Appartamento","No","4","Alto (es. uso frequente di riscaldamento/aria condizionata, più dispositivi in funzione)","Mai","Più di 120€","7","6","4","1","2","3","5"
"2024/12/29 3:47:37 PM CET","26-35","Proprietà","Appartamento","Si","2","Basso (es. uso minimo di riscaldamento/aria condizionata)","Mai","Meno di 40€","7","5","3","2","6","4","1"
"2024/12/29 5:14:43 PM CET","36-50","Affitto","Appartamento","Si","2","Moderato (es. uso occasionale del riscaldamento/aria condizionata)","Mai","Meno di 40€","2","7","5","1","3","4","6"
"2024/12/29 5:16:57 PM CET","26-35","Affitto","Appartamento","No","2","Moderato (es. uso occasionale del riscaldamento/aria condizionata)","Mai","Meno di 40€","2","7","5","1","4","3","6"
